TargetClass,PathIndex,PathNodes,Threshold,Accuracy
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,100.0000%
0,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,100.0000%
1,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,100.0000%
2,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,100.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,66.6667%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,75.0000%
3,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,75.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,100.0000%
4,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,100.0000%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,90.9091%
5,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,90.9091%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,100.0000%
6,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,100.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,90.0000%
7,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,90.0000%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,86.6667%
8,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,86.6667%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,100.0000%
9,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,100.0000%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
10,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
11,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
12,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
13,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
14,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
